Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
97,-,-,-,0,-,1,caught,3,v Pakistan,Lahore,27-Oct-78
111,-,-,15,0,-,1,caught,1,v Pakistan,Karachi,14-Nov-78
137,-,240,20,0,57.08,1,caught,3,v Pakistan,Karachi,14-Nov-78
205,397,342,29,2,59.94,1,bowled,1,v West Indies,Mumbai,1-Dec-78
73,155,133,13,0,54.88,1,caught,3,v West Indies,Mumbai,1-Dec-78
0,1,1,0,0,0,1,caught,2,v West Indies,Bangalore,15-Dec-78
107,-,-,-,0,-,1,caught,1,v West Indies,Kolkata,29-Dec-78
182*,-,-,-,0,-,1,not out,3,v West Indies,Kolkata,29-Dec-78
4,-,-,-,0,-,1,caught,2,v West Indies,Chennai,12-Jan-79
1,-,-,0,0,-,1,caught,4,v West Indies,Chennai,12-Jan-79
120,344,-,18,0,-,1,caught,1,v West Indies,Delhi,24-Jan-79
40,-,-,5,2,-,1,caught,1,v West Indies,Kanpur,2-Feb-79
61,178,160,3,0,38.12,1,run out,2,v England,Birmingham,12-Jul-79
68,137,117,10,0,58.11,1,caught,3,v England,Birmingham,12-Jul-79
42,139,114,4,0,36.84,1,caught,1,v England,Lord's,2-Aug-79
59,142,117,8,0,50.42,1,caught,3,v England,Lord's,2-Aug-79
78,240,209,9,0,37.32,1,bowled,2,v England,Leeds,16-Aug-79
13,75,39,0,0,33.33,1,caught,2,v England,The Oval,30-Aug-79
221,490,443,21,0,49.88,1,caught,4,v England,The Oval,30-Aug-79
50,130,80,7,0,62.5,1,caught,2,v Australia,Chennai,11-Sep-79
10,45,22,1,0,45.45,1,caught,2,v Australia,Bangalore,19-Sep-79
76,175,-,9,0,-,1,lbw,1,v Australia,Kanpur,2-Oct-79
12,30,-,1,0,-,1,caught,3,v Australia,Kanpur,2-Oct-79
115,329,238,17,1,48.31,1,lbw,1,v Australia,Delhi,13-Oct-79
14,10,9,3,0,155.55,1,lbw,2,v Australia,Kolkata,26-Oct-79
25,73,62,4,0,40.32,1,caught,4,v Australia,Kolkata,26-Oct-79
123,303,239,17,0,51.46,1,caught,1,v Australia,Mumbai,3-Nov-79
88,260,219,13,0,40.18,1,caught,2,v Pakistan,Bangalore,21-Nov-79
31,88,51,5,0,60.78,1,caught,2,v Pakistan,Delhi,4-Dec-79
21,44,29,2,0,72.41,1,caught,4,v Pakistan,Delhi,4-Dec-79
4,24,16,1,0,25,1,caught,1,v Pakistan,Mumbai,16-Dec-79
48,145,107,7,0,44.85,1,caught,3,v Pakistan,Mumbai,16-Dec-79
2,18,12,0,0,16.66,1,bowled,1,v Pakistan,Kanpur,25-Dec-79
81,230,150,12,0,54,1,caught,3,v Pakistan,Kanpur,25-Dec-79
166,593,373,15,1,44.5,1,caught,2,v Pakistan,Chennai,15-Jan-80
29*,88,52,5,0,55.76,1,not out,4,v Pakistan,Chennai,15-Jan-80
44,156,96,6,0,45.83,1,caught,1,v Pakistan,Kolkata,29-Jan-80
15,36,20,2,0,75,6,caught,3,v Pakistan,Kolkata,29-Jan-80
49,104,68,4,1,72.05,1,caught,1,v England,Mumbai,15-Feb-80
24,107,76,1,0,31.57,1,caught,3,v England,Mumbai,15-Feb-80
0,3,5,0,0,0,1,caught,1,v Australia,Sydney,2-Jan-81
10,26,20,2,0,50,1,caught,3,v Australia,Sydney,2-Jan-81
23,125,100,1,0,23,1,bowled,2,v Australia,Adelaide,23-Jan-81
