Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
71,155,107,12,0,66.35,3,lbw,1,,v South Africa,Perth,16-Dec-05
53,161,106,4,0,50,4,caught,3,,v South Africa,Perth,16-Dec-05
117,298,198,13,0,59.09,3,caught,1,,v South Africa,Melbourne,26-Dec-05
11,48,29,0,0,37.93,3,lbw,3,,v South Africa,Melbourne,26-Dec-05
120,257,174,12,1,68.96,3,lbw,2,,v South Africa,Sydney,2-Jan-06
143*,202,159,16,0,89.93,3,not out,4,,v South Africa,Sydney,2-Jan-06
74,178,112,8,1,66.07,3,caught,2,,v South Africa,Cape Town,16-Mar-06
1,13,4,0,0,25,3,lbw,4,,v South Africa,Cape Town,16-Mar-06
103,320,225,11,0,45.77,3,caught,1,,v South Africa,Durban,24-Mar-06
116,273,187,12,2,62.03,3,caught,3,,v South Africa,Durban,24-Mar-06
34,62,40,5,1,85,3,caught,2,,v South Africa,Johannesburg,31-Mar-06
20,51,32,1,1,62.5,3,caught,4,,v South Africa,Johannesburg,31-Mar-06
21,40,32,3,0,65.62,3,lbw,2,,v Bangladesh,Fatullah,9-Apr-06
118*,367,253,13,0,46.64,3,not out,4,,v Bangladesh,Fatullah,9-Apr-06
52,128,94,4,1,55.31,4,run out,2,,v Bangladesh,Chittagong,16-Apr-06
196,464,319,24,0,61.44,3,lbw,1,,v England,Brisbane,23-Nov-06
60*,131,85,4,0,70.58,3,not out,3,,v England,Brisbane,23-Nov-06
142,353,245,12,0,57.95,3,caught,2,,v England,Adelaide,1-Dec-06
49,95,65,5,0,75.38,3,caught,4,,v England,Adelaide,1-Dec-06
2,19,11,0,0,18.18,3,lbw,1,,v England,Perth,14-Dec-06
75,194,128,9,0,58.59,3,caught,3,,v England,Perth,14-Dec-06
7,37,28,0,0,25,4,caught,2,,v England,Melbourne,26-Dec-06
45,96,72,6,0,62.5,3,run out,2,,v England,Sydney,2-Jan-07
DNB,-,-,-,-,-,-,-,4,,v England,Sydney,2-Jan-07
56,128,85,7,0,65.88,3,stumped,1,,v Sri Lanka,Brisbane,8-Nov-07
31,94,66,2,0,46.96,3,caught,1,,v Sri Lanka,Hobart,16-Nov-07
53*,137,102,2,1,51.96,3,not out,3,,v Sri Lanka,Hobart,16-Nov-07
4,21,13,0,0,30.76,3,bowled,1,,v India,Melbourne,26-Dec-07
3,9,7,0,0,42.85,3,caught,3,,v India,Melbourne,26-Dec-07
55,128,69,9,0,79.71,3,lbw,1,,v India,Sydney,2-Jan-08
1,7,4,0,0,25,3,caught,3,,v India,Sydney,2-Jan-08
20,50,35,2,0,57.14,3,caught,2,,v India,Perth,16-Jan-08
45,139,71,6,0,63.38,3,caught,4,,v India,Perth,16-Jan-08
140,396,266,10,0,52.63,3,bowled,2,,v India,Adelaide,24-Jan-08
158,354,224,16,1,70.53,3,caught,1,,v West Indies,Kingston,22-May-08
5,6,7,0,0,71.42,3,caught,3,,v West Indies,Kingston,22-May-08
65,184,123,5,0,52.84,3,caught,1,,v West Indies,North Sound,30-May-08
38,88,48,4,0,79.16,3,lbw,3,,v West Indies,North Sound,30-May-08
18,31,21,0,2,85.71,3,lbw,1,,v West Indies,Bridgetown,12-Jun-08
